                  id                  |   country   |        state        |            county             |            city            | longitude | latitude |              parent_id               
 a852d82b-2035-4a60-b581-84e7c6fafc35 | Deutschland | Nordrhein-Westfalen | Kreis Mettmann                |                            |     6.956 |   51.223 | 0c31eb9f-0aae-4cd2-8466-bd508923d2ec
 52252696-b782-42b5-af3f-f1306d76e285 | Deutschland | Nordrhein-Westfalen | Kreis Mettmann                | Wülfrath                   |     7.033 |   51.282 | a852d82b-2035-4a60-b581-84e7c6fafc35
 f40e4aa4-5b91-424c-a45e-667155ec3ada | Deutschland | Niedersachsen       | Landkreis Diepholz            | Syke                       |     8.820 |   52.913 | b228c821-4cf9-439c-8dd1-49bd1e03a4e1
 943e5700-13c9-4036-99cf-5070959d0167 | Deutschland | Nordrhein-Westfalen | Märkischer Kreis              | Neuenrade                  |     7.783 |   51.283 | 23c25c25-9e15-4448-a43d-b97abfe447b4
 6b44da3a-2d7e-4a57-a676-4ee8f5f03295 | Deutschland | Niedersachsen       | Landkreis Diepholz            | Sulingen                   |     8.802 |   52.683 | b228c821-4cf9-439c-8dd1-49bd1e03a4e1
 0a7d51be-b82e-42c2-987e-4f30dc2a7575 | Deutschland | Nordrhein-Westfalen | Hochsauerlandkreis            |                            |     8.268 |   51.321 | 0c31eb9f-0aae-4cd2-8466-bd508923d2ec
 6adeb935-cd09-4934-a7fc-537701f0a259 | Deutschland | Nordrhein-Westfalen | Hochsauerlandkreis            | Brilon                     |     8.594 |   51.386 | 0a7d51be-b82e-42c2-987e-4f30dc2a7575
 0684e550-481d-41f0-a34d-74f6354d1ad6 | Deutschland | Nordrhein-Westfalen | Kreis Paderborn               |                            |     8.771 |   51.663 | 0c31eb9f-0aae-4cd2-8466-bd508923d2ec
 1a434e74-73dc-4805-88c7-607e96bfa2c9 | Deutschland | Nordrhein-Westfalen | Kreis Paderborn               | Paderborn                  |     8.753 |   51.718 | 0684e550-481d-41f0-a34d-74f6354d1ad6
 283e64bb-3472-49bd-8340-91e0597f24ea | Deutschland | Niedersachsen       | Landkreis Emsland             | Bockhorst                  |     7.577 |   53.035 | fef69f68-470a-4c20-996c-2360ee1399ec
 e1d93c64-c0e1-44ba-a0df-cfc03baec684 | Deutschland | Niedersachsen       | Landkreis Verden              |                            |     9.181 |   52.976 | 4478acee-0196-4b69-9cde-6a5806d09ae4
 0a68f369-7403-4589-9b4c-d61b59d8fb46 | Deutschland | Niedersachsen       | Landkreis Verden              | Samtgemeinde Thedinghausen |     9.021 |   52.962 | e1d93c64-c0e1-44ba-a0df-cfc03baec684
 38d29e23-e32e-478e-bce6-e521ae30a777 | Deutschland | Niedersachsen       | Landkreis Emsland             | Twist                      |     7.095 |   52.647 | fef69f68-470a-4c20-996c-2360ee1399ec
 049f12c8-9ab3-4d41-af07-ebf9a41196cb | Deutschland | Nordrhein-Westfalen | Märkischer Kreis              | Altena                     |     7.669 |   51.278 | 23c25c25-9e15-4448-a43d-b97abfe447b4
 2b364fcf-fb12-4243-9d6a-833741a47eee | Deutschland | Niedersachsen       | Landkreis Wesermarsch         |                            |     8.345 |   53.359 | 4478acee-0196-4b69-9cde-6a5806d09ae4
 9222f65c-d0b6-40ab-b766-07686ed603d5 | Deutschland | Niedersachsen       | Landkreis Osnabrück           | Bad Essen                  |     8.374 |   52.328 | b9c185e2-102e-4a34-b469-ccaf55c69b17
 8facdc73-177c-4bfe-8196-4d6b7cf16fa6 | Deutschland | Niedersachsen       | Landkreis Wesermarsch         | Berne                      |     8.483 |   53.183 | 2b364fcf-fb12-4243-9d6a-833741a47eee
 7a77e722-f72f-4e0a-942c-41450c5747f5 | Deutschland | Nordrhein-Westfalen | Kreis Soest                   | Rüthen                     |     8.437 |   51.502 | 1330c86a-de71-4767-a6b9-54e04e0876c6
